epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.38336,1.98016,3.60479,1.28633,0.00345,0.14286,0.00207,0.00142,1.29621,3.62259,0.90539,0.00014,0.00014,0.00014
2,6.46097,1.45256,3.27231,1.04651,0.01338,0.78571,0.0405,0.0158,1.09545,3.4608,0.86779,0.00029406,0.00029406,0.00029406
3,9.50406,1.19837,2.64764,0.9377,0.01189,0.92857,0.03917,0.02031,1.13692,3.37626,0.85289,0.000441784,0.000441784,0.000441784
4,12.5487,1.43372,2.1628,0.98391,0.01096,1,0.254,0.15334,1.15861,3.1153,0.86388,0.000583172,0.000583172,0.000583172
5,15.6947,1.33872,1.63059,0.95288,0.9034,0.66955,0.86904,0.48692,1.09542,2.62014,0.83486,0.000718224,0.000718224,0.000718224
6,18.7168,1.25647,1.20951,0.91573,0.00796,1,0.86247,0.48172,1.11489,2.48732,0.84866,0.00084694,0.00084694,0.00084694
7,21.7423,1.19485,1.06036,0.91227,1,0.31508,0.9775,0.71665,1.02276,2.16023,0.83828,0.00096932,0.00096932,0.00096932
8,24.7984,1.24034,1.06064,0.93046,1,0.64311,0.98567,0.65223,1.20502,1.94809,0.89089,0.00108536,0.00108536,0.00108536
9,27.8107,1.15936,0.9228,0.92139,1,0.4803,0.93116,0.61387,1.21929,2.0041,0.88904,0.00119507,0.00119507,0.00119507
10,30.8297,1.1158,0.91827,0.90052,1,0.58156,0.89681,0.67685,1.12162,1.82628,0.88148,0.00129844,0.00129844,0.00129844
11,33.882,1.12698,0.86238,0.87984,0.94274,0.71429,0.93278,0.50993,1.36915,1.71564,0.92049,0.00139548,0.00139548,0.00139548
12,36.9102,1.12819,0.86632,0.92417,0.95492,0.78571,0.96875,0.66258,1.21099,1.49048,0.87726,0.00148618,0.00148618,0.00148618
13,39.9652,1.14459,0.79855,0.90103,0.89628,1,0.981,0.63896,1.12228,1.20703,0.85556,0.0015248,0.0015248,0.0015248
14,42.9713,1.02429,0.76976,0.88993,0.89728,0.92857,0.96444,0.67418,1.16517,0.97537,0.86584,0.0014852,0.0014852,0.0014852
15,46.0005,1.08747,0.82476,0.90477,1,0.92646,0.98625,0.71882,1.10476,0.86923,0.85165,0.0014456,0.0014456,0.0014456
16,49.0225,1.03413,0.74402,0.8723,0.9328,0.99193,0.99033,0.75547,1.00101,0.78779,0.83975,0.001406,0.001406,0.001406
17,52.0949,1.03588,0.73788,0.91029,0.99904,1,0.995,0.7001,1.0476,0.7082,0.85115,0.0013664,0.0013664,0.0013664
18,55.103,0.94263,0.68664,0.87561,0.99465,1,0.995,0.75316,0.93088,0.67141,0.82534,0.0013268,0.0013268,0.0013268
19,58.0856,0.94365,0.69966,0.87357,0.99375,1,0.995,0.74557,0.89405,0.65786,0.8233,0.0012872,0.0012872,0.0012872
20,61.1258,0.92317,0.6919,0.87418,0.99408,1,0.995,0.73898,0.98013,0.6596,0.83986,0.0012476,0.0012476,0.0012476
21,64.1968,0.95249,0.68626,0.88031,0.99487,1,0.995,0.72285,0.94597,0.70103,0.82927,0.001208,0.001208,0.001208
22,67.2104,0.91955,0.62215,0.86421,0.9917,1,0.995,0.76162,0.93226,0.62211,0.83034,0.0011684,0.0011684,0.0011684
23,70.3673,0.89938,0.6723,0.87377,0.9919,1,0.995,0.7396,0.85403,0.64721,0.81921,0.0011288,0.0011288,0.0011288
24,73.7974,0.90874,0.65078,0.85988,0.9898,1,0.995,0.77219,0.82005,0.61364,0.82124,0.0010892,0.0010892,0.0010892
25,77.2248,0.85006,0.59788,0.86392,0.99473,1,0.995,0.81216,0.80116,0.60368,0.8097,0.0010496,0.0010496,0.0010496
26,80.952,0.93027,0.6402,0.86188,1,0.99645,0.995,0.79595,0.80044,0.60391,0.81224,0.00101,0.00101,0.00101
27,84.1734,0.89358,0.65592,0.87522,0.99502,1,0.995,0.77323,0.87156,0.59733,0.81827,0.0009704,0.0009704,0.0009704
28,87.3945,0.88396,0.61285,0.83894,0.99279,1,0.995,0.81138,0.78074,0.56601,0.80211,0.0009308,0.0009308,0.0009308
29,90.5025,0.84479,0.60734,0.85291,0.99233,1,0.995,0.78801,0.82181,0.56927,0.80868,0.0008912,0.0008912,0.0008912
30,93.6737,0.85795,0.59616,0.85628,0.99544,1,0.995,0.75907,0.94252,0.57117,0.82955,0.0008516,0.0008516,0.0008516
31,96.7794,0.85128,0.5818,0.8553,0.99451,1,0.995,0.81606,0.85471,0.53274,0.81619,0.000812,0.000812,0.000812
32,99.8551,0.79035,0.57845,0.8482,0.99591,1,0.995,0.84389,0.81035,0.57865,0.81018,0.0007724,0.0007724,0.0007724
33,102.865,0.84434,0.60528,0.85681,0.99566,1,0.995,0.86123,0.75558,0.51082,0.79956,0.0007328,0.0007328,0.0007328
34,105.907,0.79252,0.5586,0.84793,0.9957,1,0.995,0.81375,0.81294,0.52754,0.80114,0.0006932,0.0006932,0.0006932
35,108.928,0.81058,0.56702,0.85587,0.9954,1,0.995,0.80586,0.86463,0.51381,0.8056,0.0006536,0.0006536,0.0006536
36,111.962,0.80509,0.54882,0.83511,0.99525,1,0.995,0.82388,0.79021,0.47634,0.79828,0.000614,0.000614,0.000614
37,114.944,0.79615,0.55906,0.85836,0.99525,1,0.995,0.80126,0.7705,0.50023,0.79898,0.0005744,0.0005744,0.0005744
38,117.927,0.73882,0.52444,0.85029,0.99517,1,0.995,0.77968,0.85808,0.50139,0.81044,0.0005348,0.0005348,0.0005348
39,120.952,0.77132,0.52879,0.84428,0.995,1,0.995,0.79853,0.77484,0.4761,0.8047,0.0004952,0.0004952,0.0004952
40,124.211,0.78676,0.54007,0.8496,0.99495,1,0.995,0.82419,0.65813,0.47781,0.78972,0.0004556,0.0004556,0.0004556
41,127.31,0.64668,0.55639,0.83624,0.99544,1,0.995,0.83414,0.65832,0.48172,0.79084,0.000416,0.000416,0.000416
42,130.326,0.65753,0.4844,0.80868,0.996,1,0.995,0.86363,0.62546,0.48979,0.79088,0.0003764,0.0003764,0.0003764
43,133.332,0.60427,0.48072,0.82298,0.99575,1,0.995,0.8718,0.65337,0.52158,0.7962,0.0003368,0.0003368,0.0003368
44,136.365,0.67959,0.5276,0.83956,0.99645,1,0.995,0.84096,0.66033,0.52291,0.79559,0.0002972,0.0002972,0.0002972
45,139.33,0.57882,0.49571,0.79372,0.99633,1,0.995,0.83629,0.71955,0.50817,0.79979,0.0002576,0.0002576,0.0002576
