epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3852,1.05078,2.86221,1.05349,0.01371,1,0.93386,0.58363,0.81063,2.72992,0.81063,0.00034,0.00034,0.00034
2,56.2701,0.99335,1.37804,0.96868,0.01611,1,0.86319,0.51593,0.91549,2.55119,0.84949,0.00068614,0.00068614,0.00068614
3,83.9922,0.92052,0.82194,0.95534,0.95406,0.85644,0.97398,0.79542,0.6689,2.16829,0.83732,0.00101802,0.00101802,0.00101802
4,110.773,0.84655,0.6981,0.93115,0.98786,1,0.9948,0.7865,0.71788,1.3855,0.84124,0.00133565,0.00133565,0.00133565
5,137.564,0.85326,0.67144,0.91643,0.94261,0.96907,0.98675,0.83112,0.67792,1.20355,0.84978,0.00163902,0.00163902,0.00163902
6,164.646,0.81735,0.65214,0.91948,0.97974,0.99702,0.99313,0.80855,0.7136,0.7232,0.86237,0.001802,0.001802,0.001802
7,194.123,0.81025,0.61586,0.90937,0.98841,1,0.99469,0.84562,0.67375,0.56044,0.85379,0.0017624,0.0017624,0.0017624
8,225.158,0.81834,0.61691,0.91772,0.99855,1,0.995,0.8469,0.60616,0.54013,0.83886,0.0017228,0.0017228,0.0017228
9,254.573,0.75276,0.57587,0.89954,0.99843,1,0.995,0.87147,0.56058,0.52114,0.83476,0.0016832,0.0016832,0.0016832
10,282.584,0.73736,0.56315,0.89784,0.99888,1,0.995,0.88421,0.52741,0.49552,0.82779,0.0016436,0.0016436,0.0016436
11,314.827,0.7833,0.55593,0.90888,0.99913,1,0.995,0.84815,0.57673,0.52186,0.8439,0.001604,0.001604,0.001604
12,342.442,0.74754,0.56031,0.89924,0.99964,1,0.995,0.8735,0.53305,0.49824,0.8356,0.0015644,0.0015644,0.0015644
13,370.394,0.72349,0.53545,0.89343,0.99914,1,0.995,0.90177,0.50185,0.45707,0.82499,0.0015248,0.0015248,0.0015248
14,398.732,0.7263,0.51529,0.89385,0.999,1,0.995,0.90006,0.48196,0.4541,0.81918,0.0014852,0.0014852,0.0014852
15,425.269,0.74722,0.52163,0.89565,0.96961,1,0.99429,0.90161,0.49051,0.49904,0.81839,0.0014456,0.0014456,0.0014456
16,451.025,0.72836,0.50601,0.88659,0.99687,1,0.995,0.89425,0.52828,0.48793,0.83129,0.001406,0.001406,0.001406
17,476.806,0.69033,0.50048,0.88551,0.99931,1,0.995,0.90431,0.49442,0.43744,0.81889,0.0013664,0.0013664,0.0013664
18,503.049,0.70748,0.49555,0.89299,0.99937,1,0.995,0.87636,0.49339,0.42002,0.82443,0.0013268,0.0013268,0.0013268
19,528.982,0.70798,0.48017,0.88659,0.99929,1,0.995,0.89115,0.50446,0.39201,0.82191,0.0012872,0.0012872,0.0012872
20,554.743,0.69701,0.46916,0.88662,0.99942,1,0.995,0.88939,0.50366,0.38047,0.8236,0.0012476,0.0012476,0.0012476
21,580.933,0.70578,0.47342,0.88504,0.9993,1,0.995,0.88667,0.49168,0.39571,0.81816,0.001208,0.001208,0.001208
22,607.274,0.68257,0.4769,0.88215,0.99935,1,0.995,0.8911,0.53514,0.3985,0.82475,0.0011684,0.0011684,0.0011684
23,633.84,0.6856,0.45043,0.87804,0.99937,1,0.995,0.90052,0.47579,0.37723,0.81966,0.0011288,0.0011288,0.0011288
24,660.029,0.67404,0.45219,0.88034,0.99931,1,0.995,0.90353,0.45864,0.37458,0.81684,0.0010892,0.0010892,0.0010892
25,686.325,0.67098,0.44479,0.87011,0.99916,1,0.995,0.90177,0.45524,0.35901,0.81362,0.0010496,0.0010496,0.0010496
26,712.501,0.65809,0.43394,0.87394,0.99906,1,0.995,0.90243,0.46414,0.36812,0.81557,0.00101,0.00101,0.00101
27,739.381,0.66451,0.42511,0.87498,0.99932,1,0.995,0.92418,0.40843,0.36072,0.80593,0.0009704,0.0009704,0.0009704
28,766.661,0.64911,0.43742,0.8799,0.99934,1,0.995,0.89874,0.44996,0.35272,0.81183,0.0009308,0.0009308,0.0009308
29,793.993,0.63363,0.41192,0.8697,0.99931,1,0.995,0.90475,0.43931,0.34095,0.80876,0.0008912,0.0008912,0.0008912
30,821.738,0.63573,0.41664,0.87469,0.99938,1,0.995,0.90486,0.42159,0.32445,0.80856,0.0008516,0.0008516,0.0008516
31,848.834,0.65679,0.41354,0.8734,0.99937,1,0.995,0.90175,0.4409,0.32332,0.81203,0.000812,0.000812,0.000812
32,876.322,0.63641,0.40596,0.86868,0.99934,1,0.995,0.91374,0.41118,0.32522,0.80687,0.0007724,0.0007724,0.0007724
33,903.843,0.6226,0.40393,0.86296,0.99918,1,0.995,0.90063,0.45759,0.33751,0.8116,0.0007328,0.0007328,0.0007328
34,931.542,0.61228,0.39129,0.86253,0.99937,1,0.995,0.91345,0.42353,0.32358,0.80578,0.0006932,0.0006932,0.0006932
35,959.528,0.62047,0.39337,0.86671,0.99929,1,0.995,0.9114,0.43261,0.33011,0.81189,0.0006536,0.0006536,0.0006536
36,987.756,0.6065,0.38522,0.85999,0.99939,1,0.995,0.90948,0.41333,0.30738,0.8065,0.000614,0.000614,0.000614
37,1015.62,0.60887,0.38563,0.86398,0.99937,1,0.995,0.91572,0.40546,0.3,0.80457,0.0005744,0.0005744,0.0005744
38,1044.12,0.58572,0.38145,0.85959,0.9994,1,0.995,0.91354,0.41358,0.30543,0.8085,0.0005348,0.0005348,0.0005348
39,1071.08,0.58673,0.36652,0.86424,0.99933,1,0.995,0.91372,0.41332,0.293,0.80504,0.0004952,0.0004952,0.0004952
40,1098.47,0.58153,0.37325,0.85987,0.99934,1,0.995,0.92466,0.37938,0.28598,0.80153,0.0004556,0.0004556,0.0004556
41,1125.02,0.49419,0.34395,0.82468,0.99939,1,0.995,0.8992,0.42626,0.30453,0.80741,0.000416,0.000416,0.000416
42,1152.09,0.5027,0.33467,0.82419,0.99939,1,0.995,0.92359,0.3821,0.27412,0.8037,0.0003764,0.0003764,0.0003764
43,1179.18,0.49023,0.32335,0.81355,0.99939,1,0.995,0.9173,0.41514,0.27956,0.80733,0.0003368,0.0003368,0.0003368
44,1206.07,0.49287,0.3199,0.82449,0.99939,1,0.995,0.92213,0.39208,0.28416,0.80535,0.0002972,0.0002972,0.0002972
45,1232.98,0.49407,0.31643,0.82712,0.99941,1,0.995,0.91637,0.41307,0.2912,0.80554,0.0002576,0.0002576,0.0002576
46,1259.38,0.47591,0.31167,0.81428,0.99941,1,0.995,0.92957,0.39065,0.28603,0.8033,0.000218,0.000218,0.000218
47,1286.61,0.4802,0.30486,0.81987,0.99943,1,0.995,0.91602,0.4068,0.28494,0.80516,0.0001784,0.0001784,0.0001784
48,1313.74,0.47094,0.30064,0.81849,0.99941,1,0.995,0.9226,0.39839,0.27923,0.8038,0.0001388,0.0001388,0.0001388
49,1340.59,0.47389,0.29968,0.81723,0.99942,1,0.995,0.92157,0.3912,0.26897,0.80302,9.92e-05,9.92e-05,9.92e-05
50,1367.75,0.45623,0.28948,0.81196,0.99943,1,0.995,0.92391,0.39841,0.27061,0.80416,5.96e-05,5.96e-05,5.96e-05
